Date,Weekly_Sales,IsHoliday
02/05/2010,24924.5,FALSE
02/12/2010,46039.49,TRUE
02/19/2010,41595.55,FALSE
02/26/2010,19403.54,FALSE
03/05/2010,21827.9,FALSE
03/12/2010,21043.39,FALSE
03/19/2010,22136.64,FALSE
03/26/2010,26229.21,FALSE
04/02/2010,57258.43,FALSE
04/09/2010,42960.91,FALSE
04/16/2010,17596.96,FALSE
04/23/2010,16145.35,FALSE
04/30/2010,16555.11,FALSE
05/07/2010,17413.94,FALSE
05/14/2010,18926.74,FALSE
05/21/2010,14773.04,FALSE
05/28/2010,15580.43,FALSE
06/04/2010,17558.09,FALSE
06/11/2010,16637.62,FALSE
06/18/2010,16216.27,FALSE
06/25/2010,16328.72,FALSE
07/02/2010,16333.14,FALSE
07/09/2010,17688.76,FALSE
07/16/2010,17150.84,FALSE
07/23/2010,15360.45,FALSE
07/30/2010,15381.82,FALSE
08/06/2010,17508.41,FALSE
08/13/2010,15536.4,FALSE
08/20/2010,15740.13,FALSE
08/27/2010,15793.87,FALSE
09/03/2010,16241.78,FALSE
09/10/2010,18194.74,TRUE
09/17/2010,19354.23,FALSE
09/24/2010,18122.52,FALSE
10/01/2010,20094.19,FALSE
10/08/2010,23388.03,FALSE
10/15/2010,26978.34,FALSE
10/22/2010,25543.04,FALSE
10/29/2010,38640.93,FALSE
11/05/2010,34238.88,FALSE
11/12/2010,19549.39,FALSE
11/19/2010,19552.84,FALSE
11/26/2010,18820.29,TRUE
12/03/2010,22517.56,FALSE
12/10/2010,31497.65,FALSE
12/17/2010,44912.86,FALSE
12/24/2010,55931.23,FALSE
12/31/2010,19124.58,TRUE
01/07/2011,15984.24,FALSE
